file_name,SMILES
0.png,[H][C@]1([C@]2(C[C@@](C=C2)([H])[C@]1(c1c(OC)ccc(C#Cc2c(-c3c(C=O)[n]4c(c(ccc4)C#C)c3C(OCC)=O)cccc2)c1)C(O)=O)[H])CC(=O)N
1.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2(c3cccc4c3C(=O)[C-](c3cnc5cccc(N=[N+]=[N-])c5c3)C4=O)C=C[C@]1([H])C2.[Na+]
2.png,[H][C@]1([C@@]2(C=C(OC([Ar])C([H])([H])[H])[C@](C2)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
3.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)OCc2ccc(Br)cc2)[C@@]2([H])C=C[C@]1([H])C2
4.png,[H][C@]1(CC(N)=O)[C@](C(=O)O)(c2ccc(N=[N+]=[N-])cc2/C=C/[N+](=O)[O-])[C@@]2([H])C=C[C@]1([H])C2
5.png,[H][C@]1(CC(N)=O)[C@@](N=[N+]=[N-])(C(=O)O)[C@@]2(c3cc(C)ccc3S(=O)(=O)C(c3cccc(Cl)c3)[N+](=O)[O-])C=C[C@]1([H])C2
6.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C[C@]1(c1ccccc1-c1cc3c(o1)CCCC3OC)C2
7.png,[H][C@]1(CC(=O)NC2CC[C@]3(C)[C@@]4([H])CC(=O)c5c(cc(OC)c(OC)c5N)[C@]4(C)CC[C@@]3([H])C2(C)C)[C@@]([H])(C(=O)O)[C@@]2([H])C=C[C@]1([H])C2
8.png,[H][C@]1([C@]2(C[C@@](C=C2C2[C@@]3([C@@]([C@@](CC(=O)N)([H])[C@](C3)(c3c[n]c(Cl)cc3)C=2)(C(O)=O)[H])[H])([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
9.png,[H][C@@]1(C(=O)O)[C@@](CC(N)=O)(c2cccc(Br)c2C)[C@]2([H])C=C[C@@]1([H])C2
10.png,[H][C@@]1([C@@]2(C[C@](C=C2)([H])[C@@]1(C1C(Cl)=CC=C(C#N)C=1)C([H])([H])C(=O)N)[H])C(O)=O
11.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2(Cc3cc(C)cc(F)c3)C=C[C@]1([H])C2
12.png,[H][C@@]1([C@@]2(C[C@](C=C2)([H])[C@@]1(OC([C@]1([C@@]2(C[C@](C=C2)([H])[C@]1(C(C1C2c3c(=O)[n](C)c(=O)[n](C)c3C3C4C(CCC(C=23)=CC=1)=CC=CC=4)C(=O)N)[H])[H])[H])=O)CC(=O)N)[H])C(O)=O
13.png,[H][C@@]1(C(=O)O)[C@]([H])(C(C=CC(C)=O)C(N)=O)[C@]2([H])C=C[C@@]1([H])C2
14.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C[C@]1([H])C2c1cc(C(=C)C)ccc1Cl
15.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C(c3ccccc3S(=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)[C@]1([H])C2
16.png,[H][C@]1([C@]2(C[C@@](C=C2C2C(OC)=C(OC)C=C(C(NC3SC=C(C(OC)=O)N=3)=O)C=2O)([H])[C@@]1(C(O[H])=O)[H])[H])CC(=O)N
17.png,[H]C(=O)C1CCC([C@@]23C=C[C@@]([H])(C2)[C@]([H])(C(=O)O)[C@]3([H])CC(N)=O)O1
18.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C(c3cc(C[C]=O)ccc3O)[C@]1([H])C2
19.png,[H][C@]1([C@]2(C[C@@](C=C2)([H])[C@@]1(C(OO[C@@]1(C(C)(C)OC2C(=CC(=C(C=2)C)O)[C@](C=C)([H])C1)[H])=O)[H])N=[N+]=[N-])CC(=O)N
20.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@]2([H])C[C@@]1([H])C=C2c1ccc(N=[N+]=[N-])c(S)c1S
21.png,[H][C@]1([C@]2(C[C@@](C=C2)([H])[C@]1(c1c(Br)c([H])cc(C(/C(=C2\c3c(cccc3)C(=O)O\2)/C)=O)c1)C(O)=O)[H])CC(=O)N
22.png,[H][C@@]1(C(=O)O)[C@@](CC(N)=O)(c2c([N+](=O)[O-])ccc(C#N)c2-c2nnn(C)n2)[C@]2([H])C=C[C@@]1([H])C2
23.png,[H][C@]1([C@]2(C[C@@](C=C2)([H])[C@@]1(C(O)=O)[H])N=C=[N-])CC(NC1C=CC(C=C2CC2)=CC=1)=O
24.png,[H][C@]1(CC(N)=O)[C@@](COc2c(OC)cc3c(c2Br)C(c2ccccc2)=C(C(F)(F)F)CC3)(C(=O)O)[C@@]2([H])C=C[C@]1([H])C2
25.png,[H][C@]1([C@@]2(C=C(c3c(C(c4c(C)c(C#N)ccc4)=O)cccc3)[C@](C2)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
26.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C[C@]1([H])C2c1ccc(-c2ccccc2)c2c1CCCC2=O
27.png,[H][C@]1(CC(N)=O)[C@](C(=O)O)(C(=O)c2ccccc2O)[C@@]2([H])C=C(C#C)[C@]1([H])C2
28.png,[H][C@]1([C@]2(C[C@@](C=C2)(c2cc([C@@]3([C@](CC#N)([H])Oc4c(cccc4)C3=O)[H])ccc2)[C@@]1(C(O)=O)[H])[H])CC(=O)N
29.png,[H][C@]12[C@@](C3SC=C(Br)C=3)([H])OC[C@@]3([H])[C@@]1(OCC3C1[C@@]3([C@@]([C@@](C(C(=O)N)C#N)([H])[C@](C3)([H])C=1)(C(O)=O)[H])[H])CCCC2
30.png,[H][C@]1([C@@]2(C=C(c3c(C#CC#C)cccc3C)[C@](C2)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
31.png,[H][C@]1([C@]2(C[C@@](C=C2c2c([N+]([O-])=O)ccc(-c3c(C)o[n]c3-c3ccccc3)c2)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
32.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2(c3cc(C)cc(N)c3)C=C[C@]1([H])C2
33.png,[H][C@@]1(C[C@](OCC(CNC(C[C@@]2([C@]3(C[C@@](C=C3)(C3[C@]4([C@]([C@](C(O)=O)([H])[C@@](C4)([H])C=3)(CC(=O)N)[H])[H])[C@@]2(C(O)=O)[H])[H])[H])=O)=C)([H])[C@@](C(C)C)([H])CC1)C
34.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2(c3cccc(C(=O)c4nnn(CSC)c4-c4ccc(Cl)cc4)c3)C=C[C@]1([H])C2
35.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C[C@]1(OC(C#C)c1ccccc1)C2
36.png,[H][C@]1([C@]2(C[C@@](C=C2)(C2C=C(C3C(C4C=CC=CC=4)=C4C(C=CC(=C4)C)=NC=3C)C([C@]3([C@]4(C[C@@](C=C4)([H])[C@@]3(C(O)=O)[H])[H])CC(=O)N)=CC=2[H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
37.png,[H][C@]1([C@]2(C[C@@](C=C2C2C(C3C(C4C(C5[C@]6([C@]([C@](C(O)=O)([H])[C@@](C6)([H])C=5)(CC(=O)N)[H])[H])=CC=CC=4)=C4C(C([*])=CC(=C4)C(F)(F)F)=NC=3C)=CC=CC=2)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
38.png,[H][C@]1([C@]2(C[C@@](C=C2)(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@]1(C(O)=O)[H])[H])CC(=O)N
39.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C[C@]1([H])C2C1CCCN1
40.png,[H][C@]1([C@@]2(C=C(c3cc4-c5c(C6(Cc7c(cccc7)C(C)=C6)c4cc3)ccc([*])c5)[C@](C2)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
41.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2(c3cccc4c(=O)ccoc34)C=C[C@]1([H])C2
42.png,[H][C@]1([C@]2(C[C@@](C=C2)([H])[C@]1(C1C=C([H])C(S(=O)(=O)N)=CC=1)C(O)=O)[H])CC(=O)N
43.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)ON=C=[N-])[C@@]2([H])C=C(c3ccc(Cl)c4c3OC(c3ccccc3)(c3ccccc3)C4NC(C)C)[C@]1([H])C2
44.png,[H][C@]1([C@]2(C[C@@](C=C2C(S(c2ccc(C)cc2)(=O)=O)([N+]([O-])=O)c2cc(Br)ccc2)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
45.png,[H][C@]1([C@]2(C[C@@](C=C2)(C2C=C(CC)N=CC=2)[C@@]1(C(O)=O)[H])[H])CC(=O)N
46.png,[H][C@]1([C@]2(C[C@@](C=C2C2C(=O)CCSC2)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
47.png,[H][C@]1([C@]2(C[C@@](C=C2)([H])[C@]1(c1cc(-[n]2c(-c3ccccc3)cc(-c3ccc(OC)cc3)c2)ccc1)C(O)=O)[H])CC(=O)N
48.png,[H][C@]1([C@@]2(C=C(N=[N+]=[N-])[C@](C2)([H])[C@@]1(C(O)=O)C#CC[n]1c(C)[n]cc1C)[H])CC(=O)N
49.png,[H][C@@]1(CONC(=O)C[C@@]2([H])[C@@]([H])(C(=O)O)[C@@]3([H])C=C[C@]2([H])C3)COC(=O)C1
50.png,[H][C@]1([C@]2(C[C@@](C=C2CC(c2c(C3[C@]4([C@]([C@](C(O)=O)([H])[C@@](C4)([H])C=3)(CC(=O)N)[H])[H])c(C(C)C)c(C(Cl)=O)c(C(C)C)c2)C)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
51.png,[H][C@]1(CC(N)=O)[C@](C(=O)O)(C(=O)N2C(O)C(O)N(C=O)C(O)C2O)[C@@]2([H])C=C[C@]1([H])C2
52.png,[H][C@@]1(C(=O)O)[C@]([H])(C(OC2COC3OCCC23)C(N)=O)[C@]2([H])C=C[C@@]1([H])C2N=[N+]=[N-]
53.png,[H][C@]1(CC(=O)Nc2ccccc2C(O)(C(=O)O)c2ccccc2)[C@@]([H])(C(=O)O)[C@@]2([N+](=O)[O-])C=C[C@]1([H])C2
54.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)OC23OC4(N=[N+]=[N-])OC2N([N+](=O)[O-])C2OC4OC2N3[N+](=O)[O-])[C@@]2([H])C=C[C@]1([H])C2
55.png,[H][C@]1([C@]2(C[C@@](C=C2)([H])[C@@]1(C(OC1C(C(F)(F)F)=C(C2C=CN(C(=O)C)C=C2)C([H])=CC=1)=O)[H])[H])CC(=O)N
56.png,[H][C@]1(CC(N)=O)[C@](C(=O)O)(c2cc3c(cc2OCc2ccccc2)OC[C@@](O)(c2ccc(O[Si](C)(C)C(C)(C)C)cc2OCc2ccccc2)[C@]3([H])O)[C@@]2([H])C=C[C@]1([H])C2
57.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C(c3cc(OC)ccc3C#CC(Cc3ccc(OCc4ccccc4)cc3N=C=[N-])N(C)CC=C)[C@]1([H])C2
58.png,[H][C@]1([C@]2(C[C@@](C=C2)(C(Oc2c(OCC)cccc2)CN[C@@](Cc2cc(S(=O)(=O)N)c(OC)cc2)(C)[H])[C@@]1(C(O[N+]([O-])=O)=O)[H])[H])CC(=O)N
59.png,[H][C@@]1(OC(C)=O)O[C@]([H])(COC(C)=O)[C@@]([H])(OC(=O)CC2[C@]3([H])C=C[C@@]2([H])[C@@]([H])(CC(N)=O)[C@@]3([H])C(=O)O)C(OC(C)=O)[C@@]1([H])NC(=O)c1ccccn1
60.png,[H][C@]1([C@]2(C[C@@](C=C2)([H])[C@@]1(C(OO[C@]([C@](C(OC)=O)(OC1[C@@]2([C@]([C@](C(O)=O)([H])[C@]1(C=C2)[H])(CC(=O)N)[H])[H])[H])(c1ccccc1)[H])=O)[H])[H])CC(=O)N
61.png,[H][C@]1([C@]2(C[C@@](C([H])=C2)([H])[C@@]1(C(O[C@]1([C@]2(C[C@@](C=C2)([H])[C@@]1(C(O)=O)[H])C1C=C(COC([C@@]([C@](C2C([Ar])=CC=CC=2)(O)[H])(O)[H])=O)C=CC=1)CC(=O)N)=O)[H])[H])CC(=O)N
62.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C[C@]1(OC1(CF)COC(=O)C1)C2
63.png,*C(=O)C(*)(*)OC(=O)[C@]1([H])[C@]([H])(CC(N)=O)[C@]2([H])C=C[C@@]1([H])C2
64.png,*C(=O)NC(=O)C[C@@]1([H])[C@@](C#CC#C)(C(=O)O)[C@@]2([H])C=C[C@]1([H])C2
65.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)Oc2ccc(C#CCCCO)c(I)c2)[C@@]2([H])C=C[C@]1([H])C2
66.png,[H][C@@]1(Cc2ccccc2)COC(=O)N1C(=O)[C@]([H])(CSC(=O)CC1=C[C@@]2([H])C[C@]1([H])[C@@]([H])(CC(N)=O)[C@@]2([H])C(=O)O)C(C)C
67.png,[H][C@@]1(C(=O)O)[C@@](CC(N)=O)(c2ccnc(Sc3ccccc3)c2)[C@]2([H])C=C[C@@]1([H])C2
68.png,[H][C@]12C(=O)N3CCCC4(CCC(=C34)[C@@]1([H])C1C(=C(C=CC=1)OC([C@]1([C@@]3(C[C@](C=C3)([H])[C@]1(CC(=O)N)[H])[H])[H])=O)NC2=O)CC
69.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C[C@]1([H])C2c1cc(-c2cccc(N=C=[N-])c2)ccc1OC
70.png,[H][C@]1([C@]2(C[C@@](C=C2CC2([C@]3([H])[C@]2(C[C@@]2([C@@](C3)(C)O2)[H])[H])C)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
71.png,[H][C@]1(CC(=O)NC[Si](C)(C)/C(CCc2ccccc2)=C2/CCCCC2O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C(N=[N+]=[N-])[C@]1([H])C2
72.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2(c3cccc(N)c3Nc3ccc(I)cc3)C=C[C@]1([H])C2
73.png,[H]C1N(C(NC(C2C=C([C@@]3([C@@]4(C[C@](C=C4)([H])[C@]3(CC(=O)N)[H])[H])C(O)=O)C=CC=2)N=C=[N-])=O)C2C(=CC=CC=2)C=1
74.png,[H][C@@]1(C(=O)O)[C@]([H])(C(C#N)(C(N)=O)C2(C)C(C)C(OC)C(C)C(C)C2OC)[C@]2([H])C=C[C@@]1([H])C2
75.png,[H][C@@]1([C@](C(O)=O)([H])[C@@]2(C[C@]1(C=C2)CC(OC(C(S(C1SC2C(=CC=CC=2)N=1)(=O)=O)F)=O)(C)C)[H])CC(=O)N
76.png,[H][C@]1([C@]2(C[C@@](C=C2)([H])[C@@]1(C(O)=O)[H])[H])CC(NC(C(OC)=O)=C)=O
77.png,[H][C@]1([C@]2(C([H])([H])[C@@](C=C2)([H])[C@@]1(C(OC1C(S(F)(=O)=O)=C(F)C(Cl)=C(F)C=1)=O)[H])[H])CC(=O)N[*]
78.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@@]2([H])C=C[C@]1([H])C2c1ccccc1C1=NCC(=C)O1
79.png,[H][C@@]1(C(=O)O)[C@]([H])(C(C(N)=O)c2ccccc2SCC2=CC(=O)CCC2)[C@]2([H])C=C[C@@]1([H])C2
80.png,[H][C@]1(CC(=O)N[N+](=O)[O-])[C@@]([H])(C(=O)O)[C@@]2([H])C=C(c3ccc([C@@]([H])(C)C(=O)N4CCOC4=O)cc3)[C@]1([H])C2
81.png,[H][C@@]1(C(=O)O)[C@@](CC(N)=O)(C2=C(NC(=O)C=C(C)C)N3[C@@]([H])(C)C[C@@]([H])(O)[C@@]3(C)C2=O)[C@]2([H])C=C[C@@]1([H])C2
82.png,[2*]C([3*])N1CCC[C@@]1([H])[C@@]1([H])NCCC1[C@@]12C=C[C@@]([H])(C1)[C@]([H])(C(=O)O)[C@]2([H])CC(N)=O
83.png,[H][C@]1([C@]2(C(CC(S(NC3C=CC=CC=3)=O)(C)C)[C@@](C=C2)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
84.png,[H][C@@]1(CC(N)=O)[C@]2(CC(=C)C)C=C[C@@]([H])(C2)[C@]1([H])C(=O)O
85.png,[H][C@@]1([C@@]2(C(CC3(O[C@]4([H])[C@](CO[C@@]5(C4=O)OC(=O)N([Ar])C5)([H])O3)C)[C@](C=C2)([H])[C@]1(C([H])([N+]([O-])=O)C(=O)N)[H])[H])C(O)=O
86.png,*[C@@]([H])(C=CC(=O)OCC)N(Cc1ccccc1C#C)C(=O)/C=C/C(C)=N/OC1=C[C@]2([H])C[C@@]1([H])[C@]([H])(C(=O)O)[C@]2([H])CC(N)=O
87.png,[H][C@]1([C@@]2(C=C(C3C(CO[C@@]4([C@](O)([H])C(OCC=C)OC(COCC5C=CC=CC=5)[C@@]4(O)[H])[H])=CC=CC=3)[C@](C2)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
88.png,[H][C@]1([C@]2(C(C3C=C(C(OOC(C)(C)C)N=[N+]=[N-])C=CC=3)[C@@](C=C2)([H])[C@@]1(C(O)=O)[H])[H])CC(=O)N
89.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@]2([H])C[C@@]1([H])C=C2C(CC#N)OC(=O)[C@]([H])(O[Si](C)(C)C)[C@@]([H])(O[Si](C)(C)C)C(=O)OCC
90.png,[H][C@]1([C@]2(C[C@@](C=C2)(CC2C=CC(S(O/C(=C(\C3C=C(C#N)C=CC=3)/CC3C=CC(Cl)=CC=3[H])/C)(=O)=O)=CC=2)[C@@]1(C(O)=O)[H])[H])CC(=O)N
91.png,[H]C#CC1C(C#CCOC=CC2[C@@]3([C@]([C@](C(O)=O)([H])[C@]2(C=C3)[H])(CC(=O)N)[H])[H])=CC(N=C=[N-])=CC=1
92.png,[H]CC1C2C(=CC(=CC=2)[C@@]23[C@@](C(O)=O)([H])[C@@](CC(=O)N)([H])[C@](C2)([H])C=C3)N=CC=1
93.png,[H][C@]1(CC(N)=O)[C@@]([H])(C(=O)O)[C@]2([H])C[C@@]1([H])C=C2C(O)C1CO1
94.png,[H][C@@]1(C(=O)O)[C@@](CC(N)=O)([N+](=O)[O-])[C@]2([H])C=C[C@@]1(c1ccc(CN3CCC(N)CC3)nc1N)C2
95.png,[H][C@]1(CC(N)=O)[C@@](OB(O)c2ccccc2[N+](=O)[O-])(C(=O)O)[C@@]2([H])C=C[C@]1([H])C2
96.png,[H][C@@]1(C(=O)O)[C@]([H])(C(C#CC#C)C(N)=O)[C@]2([H])C=C(c3ccc4cccc(C(=[N+]=[N-])c5cccc6ccccc56)c4c3)[C@@]1([H])C2
